food_name,per_100_ml_or_gm,cal_per_100_ml_or_gms,kj_per_100_ml_or_gms,per_serving,cal_per_serving,kj_per_serving,per_ounces,cal_per_ounces,kj_per_ounces
Merlot Wine,100ml,83 cal,349 kJ,1 glass (118 ml),98 cal,412 kJ,1 fl. oz. (30 ml),25 cal,105 kJ
Moscato Wine,100ml,76 cal,319 kJ,1 glass (118 ml),90 cal,376 kJ,1 fl. oz. (30 ml),23 cal,96 kJ
Mulled Wine,100ml,196 cal,823 kJ,1 glass (118 ml),231 cal,971 kJ,1 fl. oz. (30 ml),59 cal,247 kJ
Pinot Gris,100ml,83 cal,349 kJ,1 glass (118 ml),98 cal,412 kJ,1 fl. oz. (30 ml),25 cal,105 kJ
Pinot Noir,100ml,75 cal,315 kJ,1 glass (118 ml),89 cal,372 kJ,1 fl. oz. (30 ml),23 cal,95 kJ
Plum Wine,100ml,163 cal,685 kJ,1 glass (118 ml),192 cal,808 kJ,1 fl. oz. (30 ml),49 cal,206 kJ
Port Wine,100ml,160 cal,672 kJ,1 glass (118 ml),189 cal,793 kJ,1 fl. oz. (30 ml),48 cal,202 kJ
Prosecco,100ml,71 cal,298 kJ,1 glass (118 ml),84 cal,352 kJ,1 fl. oz. (30 ml),21 cal,89 kJ
Red Wine,100ml,85 cal,357 kJ,1 glass (118 ml),100 cal,421 kJ,1 fl. oz. (30 ml),26 cal,107 kJ
Red Wines,100ml,85 cal,357 kJ,1 glass (118 ml),100 cal,421 kJ,1 fl. oz. (30 ml),26 cal,107 kJ
Riesling,100ml,80 cal,336 kJ,1 glass (118 ml),94 cal,396 kJ,1 fl. oz. (30 ml),24 cal,101 kJ
Riesling Wine,100ml,80 cal,336 kJ,1 glass (118 ml),94 cal,396 kJ,1 fl. oz. (30 ml),24 cal,101 kJ
Rose Wine,100ml,71 cal,298 kJ,1 glass (118 ml),84 cal,352 kJ,1 fl. oz. (30 ml),21 cal,89 kJ
Sangria,100ml,132 cal,554 kJ,1 glass (118 ml),156 cal,654 kJ,1 fl. oz. (30 ml),40 cal,166 kJ
Sauvignon Blanc,100ml,81 cal,340 kJ,1 glass (118 ml),96 cal,401 kJ,1 fl. oz. (30 ml),24 cal,102 kJ
Sherry,100ml,116 cal,487 kJ,1 glass (118 ml),137 cal,575 kJ,1 fl. oz. (30 ml),35 cal,146 kJ
Shiraz,100ml,71 cal,298 kJ,1 glass (118 ml),84 cal,352 kJ,1 fl. oz. (30 ml),21 cal,89 kJ
Sparkling Wine,100ml,190 cal,798 kJ,1 glass (118 ml),224 cal,942 kJ,1 fl. oz. (30 ml),57 cal,239 kJ
Sweet Red Wine,100ml,81 cal,340 kJ,1 glass (118 ml),96 cal,401 kJ,1 fl. oz. (30 ml),24 cal,102 kJ
Sweet White Wine,100ml,82 cal,344 kJ,1 glass (118 ml),97 cal,406 kJ,1 fl. oz. (30 ml),25 cal,103 kJ
Sweet Wines,100ml,83 cal,349 kJ,1 glass (118 ml),98 cal,412 kJ,1 fl. oz. (30 ml),25 cal,105 kJ
Vermouth,100ml,108 cal,454 kJ,1 glass (30 ml),32 cal,136 kJ,1 fl. oz. (30 ml),32 cal,136 kJ
White Wine,100ml,82 cal,344 kJ,1 glass (118 ml),97 cal,406 kJ,1 fl. oz. (30 ml),25 cal,103 kJ
White Zinfandel,100ml,88 cal,370 kJ,1 glass (118 ml),104 cal,437 kJ,1 fl. oz. (30 ml),26 cal,111 kJ
Wine,100ml,83 cal,349 kJ,1 glass (118 ml),98 cal,412 kJ,1 fl. oz. (30 ml),25 cal,105 kJ
Yellow Tail Wine,100ml,71 cal,298 kJ,1 glass (118 ml),84 cal,352 kJ,1 fl. oz. (30 ml),21 cal,89 kJ
Zinfandel,100ml,88 cal,370 kJ,1 glass (118 ml),104 cal,437 kJ,1 fl. oz. (30 ml),26 cal,111 kJ
Activia,100g,74 cal,311 kJ,1 container (113 g),84 cal,351 kJ,1 oz. (28 g),21 cal,87 kJ
Activia Lemon,100g,100 cal,420 kJ,1 container (113 g),113 cal,475 kJ,1 oz. (28 g),28 cal,118 kJ
Activia Strawberry,100g,97 cal,407 kJ,1 container (113 g),110 cal,460 kJ,1 oz. (28 g),27 cal,114 kJ
Aloe Vera Yogurt,100g,85 cal,357 kJ,1 container (227 g),193 cal,810 kJ,1 oz. (28 g),24 cal,100 kJ
Ayran,100ml,42 cal,176 kJ,1 cup (200 ml),84 cal,352 kJ,1 fl. oz. (30 ml),13 cal,53 kJ
Bircher Muesli Yogurt,100g,109 cal,458 kJ,1 container (227 g),247 cal,1040 kJ,1 oz. (28 g),31 cal,128 kJ
